# Generated from FirepadCN/pocket_dict_5000 (MIT), derived from ECDICT (MIT).
# word<TAB>concise Simplified Chinese meaning
a	第一个字母A
rooms	房间
rooster	公鸡
roosters	公鸡
root	根
rooted	根
rooting	根
roots	根
rope	绳
roped	绳
ropes	绳
roping	绳
rose	玫瑰
roses	玫瑰
rot	腐烂
rots	腐烂
rotted	腐烂
rotting	腐烂
rough	粗糙的东西
roughed	粗糙的东西
rougher	粗糙的东西
roughest	粗糙的东西
roughing	粗糙的东西
roughly	概略地
roughs	粗糙的东西
round	圆
roundabout	迂回的
roundabouts	迂回的
rounded	圆形的
rounder	圆
rounding	圆
rounds	圆
route	路径
routed	路径
routes	路径
routine	常规
routines	常规
routing	路径
row	排
rowed	排
rowing	排
rows	排
royal	王室
royals	王室
rub	摩擦
rubbed	摩擦
rubber	橡皮
rubbered	橡皮
rubbering	橡皮
rubbers	橡皮
rubbing	摩擦
rubbish	废物
rubbished	废物
rubbishes	废物
rubbishing	废物
rubs	摩擦
rude	粗鲁无礼的
rudely	无礼地
ruder	粗鲁无礼的
rudest	粗鲁无礼的
rugby	橄榄球
ruin	毁灭
ruined	毁灭的
ruining	毁灭
ruins	毁灭
rule	规则
ruled	规则
ruler	统治者
rulers	统治者
rules	规则
ruling	规则
rumour	谣言
rumoured	谣言
rumouring	谣言
rumours	谣言
run	跑
rung	环
runner	跑步者
runners	跑步者
running	赛跑
runnings	赛跑
runs	跑
rural	乡下的
rush	匆促
rushed	匆促
rushes	匆促
rushing	匆促
russia	俄国
russian	俄国人
russians	俄国人
sack	麻布袋
sacked	麻布袋
sacking	麻布袋
sacks	麻布袋
sacred	神圣的
sacrifice	牺牲
sacrificed	牺牲
sacrifices	牺牲
sacrificing	牺牲
sad	忧愁的
sadder	忧愁的
saddest	忧愁的
sadly	悲痛地
sadness	悲哀
sadnesses	悲哀
safe	保险箱
safely	安全地
safer	保险箱
safes	保险箱
safest	保险箱
safety	安全
said	说
sail	帆
sailed	帆
sailing	航行
sailings	航行
sailor	水手
sailors	水手
sails	帆
sake	目的
sakes	目的
salad	色拉
salads	色拉
salaries	薪水
salary	薪水
sale	出售
sales	销售的
salesgirl	女店员
salesgirls	女店员
salesman	售货员
salesmen	售货员
saleswoman	女售货员
saleswomen	女售货员
salt	盐
salted	盐
saltier	有盐分的
salting	盐
salts	盐
salty	有盐分的
salute	行礼
saluted	行礼
salutes	行礼
saluting	行礼
same	相同的
sample	样品
sampled	样品
samples	样品
sampling	样品
sand	沙
sanded	沙
sanding	沙
sands	沙
sandwich	三明治
sandwiched	三明治
sandwiches	三明治
sandwiching	三明治
sang	唱
sank	藏垢的场所
sarah	萨拉
sat	坐
satellite	人造卫星
satellites	人造卫星
satisfaction	满足
satisfactions	满足
satisfied	感到满意的
satisfies	使满意
satisfy	使满意
satisfying	满意的
saturday	星期六
saturdays	星期六
sauce	酱油
sauced	酱油
saucer	茶碟
saucers	茶碟
sauces	酱油
saucing	酱油
sausage	香肠
sausages	香肠
savage	未开化的
savaged	未开化的
savages	未开化的
savaging	未开化的
save	救球
saved	救球
saves	救球
saving	存款
savings	存款
saw	看见
say	说
saying	叙述
sayings	叙述
says	说
scale	刻度
scaled	刻度
scales	刻度
scaling	刻度
scan	审视
scanned	审视
scanning	审视
scans	审视
scaping	逃亡
scar	疤痕
scare	惊吓
scared	害怕的
scares	惊吓
scarf	围巾
scarfed	围巾
scarfing	围巾
scarfs	围巾
scaring	惊吓
scarred	疤痕
scarring	疤痕
scars	疤痕
scarves	围巾
scene	场
sceneries	风景
scenery	风景
scenes	场
sceptical	怀疑论的
schedule	时间表
scheduled	时间表
schedules	时间表
scheduling	时间表
scheme	方案
schemed	方案
schemes	方案
scheming	方案
scholar	学者
scholars	学者
scholarship	学问
scholarships	学问
school	学校
schoolbag	书包
schoolbags	书包
schooled	学校
schooling	学校
schoolmate	同窗
schoolmates	同窗
schools	学校
science	科学
sciences	科学
scientific	科学的
scientist	科学家
scientists	科学家
scissors	pl.剪刀
scold	好骂街的人
scolded	好骂街的人
scolding	好骂街的人
scolds	好骂街的人
scope	范围
scopes	范围
score	得分
scored	得分
scores	大量
scoring	得分
scotland	苏格兰
scott	斯科特
scottish	苏格兰的
scratch	抓痕
scratched	抓痕
scratches	抓痕
scratching	抓痕
scream	尖叫声
screamed	尖叫声
screaming	尖叫声
screams	尖叫声
screen	幕
screened	幕
screening	幕
screens	幕
screw	螺旋
screwed	螺旋
screwing	螺旋
screws	螺旋
sculpture	雕刻
sculptured	雕刻
sculptures	雕刻
sculpturing	雕刻
sea	海
seagull	鸥
seagulls	鸥
seal	印章
sealed	印章
sealing	印章
seals	印章
seaman	船员
seamans	船员
seamen	船员
search	搜寻
searched	搜寻
searches	搜寻
searching	搜寻
seas	海
seashell	海贝壳
seashells	海贝壳
seaside	海边的
seasides	海边的
season	季节
seasoned	季节
seasoning	季节
seasons	季节
seat	座
seated	座
seating	座
seats	座
seaweed	海草
seaweeds	海草
second	秒
secondaries	中级的
secondary	中级的
seconded	秒
secondhand	间接获得的
seconding	秒
seconds	秒
secret	秘密
secretaries	秘书
secretary	秘书
secretly	秘密地
secrets	秘密
section	区段
sectioned	区段
sectioning	区段
sections	区段
sector	扇形
sectors	扇形
secure	无虑的
secured	无虑的
secures	无虑的
securing	无虑的
securities	安全
security	安全
see	看见
seed	种子
seeded	种子
seeding	种子
seeds	种子
seeing	看见
seek	寻求
seeking	寻求
seeks	寻求
seem	象是
seemed	象是
seeming	象是
seems	象是
seen	看见
sees	看见
seize	抓住
seized	抓住
seizes	抓住
seizing	抓住
seldom	不常的
select	挑选出来的
selected	挑选出来的
selecting	挑选出来的
selection	选择
selections	选择
selects	挑选出来的
self	自己
selfish	自私的
sell	卖
selling	卖
sells	卖
selves	自己
semicircle	半圆形
semicircles	半圆形
senate	参议院
senates	参议院
senator	参议员
senators	参议员
send	发送
sending	发送
sends	发送
senior	年长者
seniors	年长者
sense	感应
sensed	感应
senses	感应
sensible	有感觉的
sensing	感应
sensitive	敏感的
sensitives	敏感的
sent	发送
sentence	句子
sentenced	句子
sentences	句子
sentencing	句子
separate	独立件
separated	分居
separately	[表]分开
separates	独立件
separating	独立件
separation	分离
separations	分离
sept	氏族
september	九月
septs	氏族
sequence	序列
sequenced	序列
sequences	序列
sequencing	序列
series	串联
serious	严肃的
seriously	严肃地
servant	仆人
servants	仆人
serve	可作...用
served	可作...用
serves	可作...用
service	服务
serviced	服务
services	服务
servicing	服务
serving	可作...用
session	期间
sessions	期间
set	日落
sets	日落
setting	环境
settings	环境
settle	有背长椅
settled	有背长椅
settlement	安顿
settlements	安顿
settler	移民者
settlers	移民者
settles	有背长椅
settling	有背长椅
seven	七
seventeen	十七
seventh	第七
seventy	七十
several	几个的
severe	严格的
severely	严格
severer	严格的
severest	严格的
sew	缝纫
sewed	缝纫
sewing	缝制品
sewings	缝制品
sewn	缝纫
sews	缝纫
sex	性别
sexed	性别
sexes	性别
sexing	性别
sexual	性的
sexually	性别地
shabbier	衣衫褴褛的
shabbiest	衣衫褴褛的
shabby	衣衫褴褛的
shade	荫
shaded	荫
shades	荫
shading	荫
shadow	阴影
shadowed	阴影
shadowing	阴影
shadows	阴影
shake	摇动
shaken	摇动
shakes	摇动
shaking	摇动
shall	将
shallow	水浅的地方
shallowed	水浅的地方
shallower	水浅的地方
shallowest	水浅的地方
shallowing	水浅的地方
shallows	水浅的地方
shame	羞耻
shamed	羞耻
shames	羞耻
shaming	羞耻
shanghai	上海
shanghaied	上海
shanghaiing	上海
shanghais	上海
shape	形状
shaped	成某种形状的
shapes	形状
shaping	形状
share	部分
shared	部分
shareholder	股东
shareholders	股东
shares	部分
sharing	部分
shark	鲨鱼
sharked	鲨鱼
sharking	鲨鱼
sharks	鲨鱼
sharp	半升音调
sharpen	使尖锐
sharpened	使尖锐
sharpener	研磨者
sharpeners	研磨者
sharpening	使尖锐
sharpens	使尖锐
sharply	锐利地
sharps	半升音调
shave	修面
shaved	修面
shaver	修面的人
shavers	修面的人
shaves	修面
shaving	修面
she	她
sheep	羊
sheeps	羊
sheet	床单
sheeted	床单
sheeting	床单
sheets	床单
shelf	架子
shell	贝壳
shelled	贝壳
shelling	贝壳
shells	贝壳
shelter	庇护所
sheltered	庇护所
sheltering	庇护所
shelters	庇护所
shelves	架子
shied	惊跳
shier	惊跳
shies	惊跳
shift	变化
shifted	变化
shifting	变化
shifts	变化
shine	光泽
shined	光泽
shines	光泽
shinier	有光泽的
shiniest	有光泽的
shining	光泽
shiny	有光泽的
ship	船
shipped	船
shipping	船
ships	船
shirt	衬衫
shirts	衬衫
shock	震动
shocked	震撼的
shocking	令人震惊的
shocks	震动
shod	鞋
shoe	鞋
shoeing	鞋
shoes	鞋
shone	光泽
shook	摇动
shoot	射击
shooting	发射
shootings	发射
shoots	射击
shop	商店
shopkeeper	零售商
shopkeepers	零售商
shopped	商店
shopping	买东西
shops	商店
shore	海岸
shored	海岸
shores	海岸
shoring	海岸
short	短的
shortcoming	缺点
shortcomings	缺点
shorted	短的
shorter	短的
shortest	短的
shorting	短的
shortly	不久
shorts	短裤
shot	发射
shots	发射
should	应该
shoulder	肩
shouldered	肩
shouldering	肩
shoulders	肩
shout	呼喊
shouted	呼喊
shouting	呼喊
shouts	呼喊
show	显示
showed	显示
shower	阵雨
showered	阵雨
showering	阵雨
showers	阵雨
showing	显示
shown	显示
shows	显示
shrank	收缩
shrink	收缩
shrinking	收缩
shrinks	收缩
shrunk	收缩
shrunken	收缩
shut	关闭
shuts	关闭
shutting	关闭
shuttle	穿梭
shuttled	穿梭
shuttles	穿梭
shuttling	穿梭
shy	惊跳
shyer	惊跳
shyest	惊跳
shying	惊跳
shys	惊跳
sick	病人
sicker	病人
sickest	病人
sickness	疾病
sicknesses	疾病
sicks	病人
side	旁边
sided	旁边
sides	旁边
sideway	小路
sideways	向旁边
siding	旁边
sigh	叹息
sighed	叹息
sighing	叹息
sighs	叹息
sight	景观
sighted	景观
sighting	景观
sights	景观
sightseeing	观光
sign	符号
signal	信号
signalled	信号
signalling	信号
signals	信号
signature	签字
signatures	签字
signed	符号
significance	重要性
significances	重要性
significant	重要的
significantly	值得注目地
signing	符号
signs	符号
silence	沉默
silenced	沉默
silences	沉默
silencing	沉默
silent	沉默的
silk	丝
silks	丝
sillier	愚蠢的
silliest	愚蠢的
silly	愚蠢的
silver	银
silvered	银
silvering	银
silvers	银
similar	相似的
similarly	相像地
simon	西蒙
simple	简单的
simpler	简单的
simplest	简单的
simplified	单一化
simplifies	单一化
simplify	单一化
simplifying	单一化
simply	简单地
since	自...以后
sincere	诚实的
sincerely	真诚地
sincerer	诚实的
sincerest	诚实的
sing	唱
singer	歌手
singers	歌手
singing	歌唱
single	单身的
singled	单身的
singles	单身的
singling	单身的
sings	唱
sink	藏垢的场所
sinking	藏垢的场所
sinks	藏垢的场所
sir	先生
sirs	先生
sister	姐妹
sisters	姐妹
sit	坐
site	位置
sited	位置
sites	位置
siting	位置
sits	坐
sitting	坐
situation	情形
situations	情形
six	六
sixteen	十六
sixteenth	第十六
sixth	第六
sixty	六十
size	大小
sized	大小
sizes	大小
sizing	大小
skate	溜冰
skateboard	溜冰板
skateboarding	溜冰板
skateboards	溜冰板
skated	溜冰
skates	溜冰
skating	溜冰
ski	滑雪橇
ski-ing	滑雪橇
skid	滑雪橇
skied	天空
skies	天空
skiing	滑雪橇
skilful	灵巧的
skilfully	熟练地
skill	技术
skilled	熟练的
skillful	熟练的
skillfully	巧妙地
skills	技术
skin	皮肤
skinned	皮肤
skinning	皮肤
skins	皮肤
skip	跳跃
skipped	跳跃
skipping	跳跃
skips	跳跃
skirt	裙子
skirted	裙子
skirting	裙子
skirts	裙子
skis	滑雪橇
sky	天空
skying	天空
skyscraper	摩天楼
skyscrapers	摩天楼
slave	奴隶
slaved	奴隶
slavery	奴隶的身分
slaves	奴隶
slaving	奴隶
sleep	睡眠
sleepier	困乏的
sleepies	困乏的
sleeping	睡眠
sleeps	睡眠
sleepy	困乏的
sleeve	袖子
sleeved	袖子
sleeves	袖子
sleeving	袖子
slept	睡眠
slice	薄的切片
sliced	薄的切片
slices	薄的切片
slicing	薄的切片
slid	滑
slidden	滑
slide	滑
slides	滑
sliding	滑
slight	轻蔑
slighted	轻蔑
slighter	轻蔑
slightest	轻蔑
slighting	轻蔑
slightly	些微地
slights	轻蔑
slim	瘦的
slimmed	瘦的
slimmer	瘦的
slimmest	瘦的
slimming	瘦的
slims	瘦的
slip	滑
slipped	滑
slipping	滑
slips	滑
slope	倾斜
sloped	倾斜
slopes	倾斜
sloping	倾斜
slow	慢的
slowed	慢的
slower	慢的
slowest	慢的
slowing	慢的
slowly	慢慢地
slows	慢的
small	小的
smaller	小的
smallest	小的
smart	聪明的
smarted	聪明的
smarter	聪明的
smartest	聪明的
smarting	聪明的
smarts	聪明的
smash	打碎
smashed	打碎
smashes	打碎
smashing	打碎
smell	味道
smelled	味道
smellier	发臭的
smellies	发臭的
smelliest	发臭的
smelling	味道
smells	味道
smelly	发臭的
smelt	味道
smile	微笑
smiled	微笑
smiles	微笑
smiling	微笑
smith	铁匠
smiths	铁匠
smog	烟雾
smogs	烟雾
smoke	烟
smoked	烟
smoker	吸烟者
smokers	吸烟者
smokes	烟
smoking	抽烟
smooth	平滑的
smoothed	平滑的
smoother	平滑的
smoothest	平滑的
smoothing	平滑的
smoothly	平滑地
smooths	平滑的
snack	小吃
snacked	小吃
snacking	小吃
snacks	小吃
snake	蛇
snaked	蛇
snakes	蛇
snaking	蛇
snap	使突然中断
snapped	使突然中断
snapping	使突然中断
snaps	使突然中断
snatch	抢夺
snatched	抢夺
snatches	抢夺
snatching	抢夺
sneaker	鬼鬼祟祟做事的人
sneakers	鬼鬼祟祟做事的人
sneeze	喷嚏
sneezed	喷嚏
sneezes	喷嚏
sneezing	喷嚏
sniff	以鼻吸气
sniffed	以鼻吸气
sniffing	以鼻吸气
sniffs	以鼻吸气
snow	雪
snowball	雪球
snowballed	雪球
snowballing	雪球
snowballs	雪球
snowed	雪
snowiest	多雪的
snowing	雪
snowman	雪人
snowmen	雪人
snows	雪
snowy	多雪的
snowys	多雪的
so	如此
soap	肥皂
soaped	肥皂
soaping	肥皂
soaps	肥皂
sob	啜泣
sobbed	啜泣
sobbing	啜泣
sobs	啜泣
soccer	英式足球
social	社会的
socialism	社会主义
socialisms	社会主义
socialist	社会主义者
socialists	社会主义者
socially	在社会上
societies	社会
society	社会
sock	短袜
socked	短袜
socket	窝
sockets	窝
socking	短袜
socks	短袜
sofa	沙发
sofas	沙发
soft	软的
softball	垒球运动
softer	软的
softest	软的
softly	柔和地
software	软件
soil	土壤
soiled	土壤
soiling	土壤
soils	土壤
solar	太阳的
sold	卖
soldier	军人
soldiered	军人
soldiering	军人
soldiers	军人
solicitor	募损者
solicitors	募损者
solid	固体
solids	固体
solution	解决
solutions	解决
solve	解决
solved	解决
solves	解决
solving	解决
some	一些
somebody	了不起的人
somehow	不知何故
someone	有人
something	某事
sometimes	有时
somewhat	某物
somewhere	到某处
son	儿子
song	歌
songs	歌
sons	儿子
soon	不久
sore	悲伤的
sorer	悲伤的
sores	悲伤的
sorrier	难过的
sorrow	悲伤
sorrowed	悲伤
sorrowing	悲伤
sorrows	悲伤
sorry	难过的
sort	种类
sorted	种类
sorting	种类
sorts	种类
sought	寻求
soul	灵魂
souls	灵魂
sound	声音
sounded	声音
sounder	声音
sounding	声音
sounds	声音
soup	汤
souped	汤
souping	汤
soups	汤
sour	酸的
source	来源
sourced	来源
sources	来源
sourcing	来源
soured	酸的
sourer	酸的
sourest	酸的
souring	酸的
sours	酸的
south	南方
southeast	东南
southern	南方人
southwest	西南
souvenirs	纪念品
soviet	代表会议
soviets	代表会议
sow	母猪
sowed	母猪
sowing	母猪
sown	母猪
sows	母猪
space	位置
spaced	位置
spaces	位置
spaceship	宇宙飞船
spaceships	宇宙飞船
spacing	位置
spade	铲子
spaded	铲子
spades	铲子
spading	铲子
spain	西班牙
spanish	西班牙人
spare	剩余
spared	剩余
spares	剩余
sparing	剩余
sparrow	麻雀
sparrows	麻雀
spat	唾液
speak	说
speaker	说话人
speakers	说话人
speaking	说
speaks	说
spear	矛
speared	矛
spearing	矛
spears	矛
special	专辑
specialist	专门医师
specialists	专门医师
specially	特别地
specials	专辑
species	种
specific	特效药
specifically	特定地
specifics	特效药
specified	详列
specifies	详列
specify	详列
specifying	详列
sped	速率
speech	演讲
speeches	演讲
speed	速率
speeded	速率
speeding	速率
speeds	速率
spell	符咒
spelled	符咒
spelling	拼
spellings	拼
spells	符咒
spelt	符咒
spend	花费
spending	经费
spends	花费
spent	花费
spice	香料
spiced	香料
spices	香料
spicier	香的
spiciest	香的
spicing	香料
spicy	香的
spider	蜘蛛
spiders	蜘蛛
spied	间谍
spies	间谍
spin	旋转
spinning	旋转
spins	旋转
spirit	精神
spirited	精神
spiriting	精神
spirits	精神
spiritual	精神上的
spirituals	精神上的
spit	唾液
spite	恶意
spited	恶意
spites	恶意
spiting	恶意
spits	唾液
spitted	唾液
spitting	唾液
splendid	光亮的
split	劈开
splits	劈开
splitting	劈开
spoil	战利品
spoiled	战利品
spoiling	战利品
spoils	战利品
spoilt	战利品
spoke	说
spoken	口头讲的
spokesman	发言人
spokesmen	发言人
sponsor	保证人
sponsored	保证人
sponsoring	保证人
sponsors	保证人
spoon	匙
spooned	匙
spoonful	一匙
spoonfuls	一匙
spooning	匙
spoons	匙
sport	运动
sported	运动
sporting	运动
sports	运动
spot	污点
spotcheck	污点
spots	污点
spotted	污点
spotting	污点
sprang	春天
spray	水沫
sprayed	水沫
spraying	水沫
sprays	水沫
spread	传播
spreading	传播
spreads	传播
spring	春天
springing	春天
springs	春天
sprung	春天
spun	旋转
spy	间谍
spying	间谍
square	正方形
squared	正方形
squares	正方形
squaring	正方形
squeeze	紧握
squeezed	紧握
squeezes	紧握
squeezing	紧握
squid	枪乌贼
squids	枪乌贼
squirrel	松鼠
squirrelled	松鼠
squirrelling	松鼠
squirrels	松鼠
st	段表
stable	马房
stabled	马房
stables	马房
stabling	马房
stadia	露天大型运动场
stadium	露天大型运动场
stadiums	露天大型运动场
staff	全体人员
staffed	全体人员
staffing	全体人员
staffs	全体人员
stage	阶段
staged	阶段
stages	阶段
staging	阶段
stain	污染
stained	污染
staining	污染
stainless	无瑕疵的
stains	污染
stair	梯级
stairs	楼梯
stake	桩
staked	桩
stakes	桩
staking	桩
stamp	印
stamped	印
stamping	印
stamps	印
stand	站立
standard	标准
standards	标准
standing	站立
stands	站立
star	星
stare	注视
stared	注视
stares	注视
staring	注视
starred	星
starring	星
stars	星
start	惊起
started	惊起
starting	惊起
starts	惊起
starvation	饥饿
starvations	饥饿
state	州
stated	州
statement	陈述
statements	陈述
states	美国
stating	州
station	车站
stationed	车站
stationing	车站
stations	车站
statistics	统计学
statue	以雕像装饰
statues	以雕像装饰
status	状态
statutory	法令的
staves	全体人员
stay	停留
stayed	停留
staying	停留
stays	停留
steadied	稳定的
steadier	稳定的
steadies	稳定的
steadiest	稳定的
steadily	稳定地
steady	稳定的
steadying	稳定的
steak	牛排
steaks	牛排
steal	剽窃
stealing	剽窃
steals	剽窃
steam	蒸汽
steamed	蒸汽
steaming	蒸汽
steams	蒸汽
steel	钢
steeled	钢
steeling	钢
steels	钢
steep	浸渍
steeped	浸渍
steeper	浸渍
steepest	浸渍
steeping	浸渍
steeply	险峻地
steeps	浸渍
steer	引导
steered	引导
steering	引导
steers	引导
step	步骤
stephen	斯蒂芬
stepped	步骤
stepping	步骤
steps	步骤
steve	史蒂夫
steward	管理人
stewarded	管理人
stewardess	空中小姐
stewardesses	空中小姐
stewarding	管理人
stewards	管理人
stick	棍
stickied	粘的
stickier	粘的
stickies	粘的
stickiest	粘的
sticking	棍
sticks	棍
sticky	粘的
stiff	坚硬的
stiffer	坚硬的
stiffest	坚硬的
stiffly	呆板地
stiffs	坚硬的
still	蒸馏室
stilled	蒸馏室
stilling	蒸馏室
stills	蒸馏室
sting	叮
stinging	叮
stings	叮
stir	骚动
stirred	骚动
stirring	骚动
stirs	骚动
stock	树干
stocked	树干
stocking	长袜
stockings	长袜
stocks	树干
stole	剽窃
stolen	剽窃
stomach	胃
stomachache	胃痛
stomached	胃
stomaches	胃
stomaching	胃
stomachs	胃
stone	石头
stoned	石头
stones	石头
stoning	石头
stood	站立
stop	停止
stopped	停止
stopping	停止
stops	停止
stopwatch	计时表
storage	存储器
storages	存储器
store	商店
stored	商店
stores	商店
stories	故事
storing	商店
storm	暴风雨
stormed	暴风雨
storming	暴风雨
storms	暴风雨
story	故事
stout	结实的
stouter	结实的
stoutest	结实的
stouts	结实的
stove	火炉
stoved	火炉
stoves	火炉
straight	直线
straighter	直线
straightest	直线
straightforward	笔直的
straights	直线
strain	紧张
strained	紧张
straining	紧张
strains	紧张
strait	海峡
straits	海峡
strange	奇怪的
strangely	奇妙地
stranger	陌生人
strangers	陌生人
strangest	奇怪的
strategies	战略
strategy	战略
straw	稻草
strawberries	草莓
strawberry	草莓
strawed	稻草
strawing	稻草
straws	稻草
stream	水流
streamed	水流
streaming	水流
streams	水流
street	街道
streets	街道
strength	力量
strengthen	加强
strengthened	加强
strengthening	加强
strengthens	加强
strengths	力量
stress	压力
stressed	感到有压力的
stresses	压力
stressing	压力
stretch	伸展
stretched	伸展
stretches	伸展
stretching	伸展
strict	严厉的
stricter	严厉的
strictest	严厉的
strictly	严格地
strike	罢工
strikes	罢工
striking	醒目的
string	线
stringing	线
strings	线
strip	长条
stripe	斑纹
striped	有斑纹的
stripes	斑纹
striping	斑纹
stripped	长条
stripping	长条
strips	长条
stroke	笔划
stroked	笔划
strokes	笔划
stroking	笔划
strong	强壮的
stronger	强壮的
strongest	强壮的
strongly	强有力地
struck	罢工
structure	结构
structured	结构
structures	结构
structuring	结构
struggle	斗争
struggled	斗争
struggles	斗争
struggling	斗争
strung	线
stubborn	顽固的
stuck	棍
student	学生
students	学生
studied	学习
studies	学习
studio	工作室
studios	工作室
study	学习
studying	学习
stuff	原料
stuffed	原料
stuffing	原料
stuffs	原料
stung	叮
stupid	愚蠢的
style	风格
styled	风格
styles	风格
styling	风格
subject	科目
subjected	科目
subjecting	科目
subjective	主观的
subjects	科目
submit	使服从
submits	使服从
submitted	使服从
submitting	使服从
subscribe	捐献
subscribed	捐献
subscribes	捐献
subscribing	捐献
subsequent	后来的
subsequently	后来
substance	物质
substances	物质
substantial	重要材料
substantially	实质上
substitute	代理
substituted	代理
substitutes	代理
substituting	代理
subtraction	减少
subtractions	减少
succeed	成功
succeeded	成功
succeeding	成功
succeeds	成功
success	成功
successes	成功
successful	成功的
successfully	成功
such	如此的
suck	吸
sucked	吸
sucking	吸
sucks	吸
sudden	突然
suddenly	突然
suffer	遭受
suffered	遭受
suffering	苦难
sufferings	苦难
suffers	遭受
sufficient	充分的
sufficiently	足够
sugar	糖
sugared	糖
sugaring	糖
sugars	糖
suggest	提议
suggested	提议
suggesting	提议
suggestion	提议
suggestions	提议
suggests	提议
suicide	自杀
suicides	自杀
suit	套装
suitable	适当的
suitcase	手提箱
suitcases	手提箱
suite	随员
suited	适合的
suites	随员
suiting	套装
suits	套装
sum	总数
summaries	摘要
summary	摘要
summed	总数
summer	夏季
summered	夏季
summering	夏季
summers	夏季
summing	总数
sums	总数
sun	太阳
sunburnt	晒黑的
sunday	星期日
sundays	星期日
sung	唱
sunglasses	太阳镜
sunk	藏垢的场所
sunken	藏垢的场所
sunlight	日光
sunned	太阳
sunnier	阳光充足的
sunnies	阳光充足的
sunniest	阳光充足的
sunning	太阳
sunny	阳光充足的
sunrise	日出
sunrises	日出
suns	太阳
sunset	日落
sunsets	日落
sunshine	阳光
super	跑龙套角色
superb	极度的
superior	长者
superiors	长者
superman	具有超人能力的人
supermarket	超级市场
supermarkets	超级市场
supermen	具有超人能力的人
supers	跑龙套角色
supper	晚餐
suppers	晚餐
supplied	补给
supplier	供应者
suppliers	供应者
supplies	补给
supply	补给
supplying	补给
support	支持
supported	支持
supporter	支持者
supporters	支持者
supporting	支持
supports	支持
suppose	推想
supposed	想象上的
supposes	推想
supposing	推想
supreme	至高
sure	确信
surely	的确地
surer	确信
surest	确信
surface	面
surfaced	面
surfaces	面
surfacing	面
surgeon	外科医生
surgeons	外科医生
surgeries	外科
surgery	外科
surname	姓
surnamed	姓
surnames	姓
surplus	剩余
surprise	惊奇
surprised	感到惊讶的
surprises	惊奇
surprising	令人惊讶的
surprisingly	使人惊奇
surround	包围
surrounded	包围
surrounding	环境
surroundings	环境
surrounds	包围
survey	纵览
surveyed	纵览
surveying	纵览
surveys	纵览
survival	生存
survivals	生存
survive	比...活得长
survived	比...活得长
survives	比...活得长
surviving	比...活得长
suspect	被怀疑者
suspected	被怀疑者
suspecting	被怀疑者
suspects	被怀疑者
suspension	悬挂
suspensions	悬挂
suspicion	怀疑
suspicions	怀疑
suspicious	可疑的
swallow	燕子
swallowed	燕子
swallowing	燕子
swallows	燕子
swam	游泳
swap	以货易货
swapped	以货易货
swapping	以货易货
swaps	以货易货
swear	发誓
swearing	发誓
swears	发誓
sweat	汗
sweated	汗
sweater	毛衣
sweaters	毛衣
sweating	汗
sweats	汗
sweep	扫除
sweeping	扫除
sweeps	扫除
sweet	甜蜜
sweeter	甜蜜
sweetest	甜蜜
sweets	甜蜜
swell	增大
swelled	增大
swelling	肿胀
swellings	肿胀
swells	增大
swept	扫除
swift	褐雨燕
swifter	褐雨燕
swiftest	褐雨燕
swifts	褐雨燕
swim	游泳
swimming	游泳
swims	游泳
swing	摇摆
swinging	摇摆
swings	摇摆
swiss	瑞士人
switch	开关
switched	开关
switches	开关
switching	开关
switzerland	瑞士
swollen	肿大的
sword	刀
swords	刀
swore	发誓
sworn	发誓
swum	游泳
swung	摇摆
symbol	符号
symbols	符号
sympathetic	有同情心的
sympathies	同情
sympathy	同情
symphonies	交响乐
symphony	交响乐
symptom	症状
symptoms	症状
system	系统
systematic	有系统的
systematics	有系统的
systems	系统
t-shirt	圆领汗衫
t-shirts	圆领汗衫
table	桌子
tabled	桌子
tables	桌子
tablespoon	大汤匙
tablespoons	大汤匙
tablet	平板
tablets	平板
tabling	桌子
tackle	工具
tackled	工具
tackles	工具
tackling	工具
tail	尾部
tailed	尾部
tailing	尾部
tailor	裁缝
tailored	裁缝
tailoring	裁缝
tailors	裁缝
tails	尾部
take	拿
taken	拿
takes	拿
taking	拿
tale	故事
talent	天才
talents	天才
tales	故事
talk	谈话
talked	谈话
talking	谈话
talks	谈话
tall	高的
taller	高的
tallest	高的
tank	槽
tanked	槽
tanker	坦克手
tankered	坦克手
tankers	坦克手
tanking	槽
tanks	槽
tap	轻打
tape	带子
taped	带子
tapes	带子
taping	带子
tapped	轻打
tapping	轻打
taps	轻打
target	目标
targeted	目标
targeting	目标
targets	目标
targetted	目标
targetting	目标
task	工作
tasked	工作
tasking	工作
tasks	工作
taste	味道
tasted	味道
tasteless	没味道的
tastes	味道
tastier	好吃的
tastiest	好吃的
tasting	味道
tasty	好吃的
taught	教
tax	税
taxed	税
taxes	税
taxi	出租车
taxied	出租车
taxies	出租车
taxiing	出租车
taxing	税
taxis	出租车
taylor	泰勒
tea	茶
teach	教
teacher	教师
teachers	教师
teaches	教
teaching	教学
teachings	教学
team	队
teamed	队
teaming	队
teams	队
teamwork	协同作业
teamworking	协同作业
teamworks	协同作业
teapot	茶壶
teapots	茶壶
tear	泪滴
tearing	泪滴
tears	泪滴
teas	茶
tease	揶揄
teased	揶揄
teases	揶揄
teasing	揶揄
teaspoon	茶匙
teaspoons	茶匙
technical	技术上的
technique	技巧
techniques	技巧
technologies	技术
technology	技术
teen	愤怒
teenager	十三岁到十九岁的少年
